date,hour,air_temp_1m,air_temp_5m
5/14/22,400,,-12.13
5/14/22,500,,-14.88
5/14/22,600,,-16.49
5/14/22,700,,-15.07
5/14/22,800,,-12.05
5/14/22,900,,-9.97
5/14/22,1000,,-8.76
5/14/22,1100,,-7.672
5/14/22,1200,,-6.7
5/14/22,1300,,-5.9
5/14/22,1400,,-5.108
5/14/22,1500,,-4.66
5/14/22,1600,,-3.915
5/14/22,1700,,-3.538
5/14/22,1800,,-2.711
5/14/22,1900,,-1.931
5/14/22,2000,,-1.367
5/14/22,2100,,-1.976
5/14/22,2200,,-4.227
5/14/22,2300,,-5.682
5/14/22,2400,,-6.183
5/15/22,100,,-6.202
5/15/22,200,,-6.786
5/15/22,300,,-7.55
5/15/22,400,,-7.752
5/15/22,500,,-6.999
5/15/22,600,,-5.422
5/15/22,700,,-3.07
5/15/22,800,,-2.748
5/15/22,900,,-1.188
5/15/22,1000,,-0.668
5/15/22,1100,,-0.353
5/15/22,1200,,0.049
5/15/22,1300,,0.265
5/15/22,1400,,0.011
5/15/22,1500,,-0.226
5/15/22,1600,,-0.384
5/15/22,1700,,-0.333
5/15/22,1800,,-0.788
5/15/22,1900,,-1.369
5/15/22,2000,,-2.564
5/15/22,2100,,-3.469
5/15/22,2200,,-4.425
5/15/22,2300,,-6.268
5/15/22,2400,,-8.27
5/16/22,100,,-9.67
5/16/22,200,,-10.61
5/16/22,300,,-11.44
5/16/22,400,,-11.8
5/16/22,500,,-11.86
5/16/22,600,,-10.21
5/16/22,700,,-9.44
5/16/22,800,,-7.334
5/16/22,900,,-7
5/16/22,1000,,-6.611
5/16/22,1100,,-6.33
5/16/22,1200,,-6.59
5/16/22,1300,,-6.315
5/16/22,1400,,-6.048
5/16/22,1500,,-6.662
5/16/22,1600,,-7.13
5/16/22,1700,,-7.142
5/16/22,1800,,-7.506
5/16/22,1900,,-7.826
5/16/22,2000,,-8.13
5/16/22,2100,,-8.82
5/16/22,2200,,-9.65
5/16/22,2300,,-10.42
5/16/22,2400,,-10.94
5/16/22,2400,,
5/17/22,100,,-11.3
5/17/22,200,,-11.43
5/17/22,300,,-11.43
5/17/22,400,,-11.13
5/17/22,500,,-11.24
5/17/22,600,,-11.12
5/17/22,700,,-11.03
5/17/22,800,,-10.25
5/17/22,900,,-9.59
5/17/22,1000,,-9.88
5/17/22,1100,,-9.59
5/17/22,1200,,-8.47
5/17/22,1300,,-8.44
5/17/22,1400,,-7.338
5/17/22,1500,,-7.266
5/17/22,1700,,-7.705
5/17/22,1800,,-8.01
5/17/22,1900,,-8.03
5/17/22,2000,,-7.381
5/17/22,2100,,-7.013
5/17/22,2200,,-6.724
5/17/22,2300,,-7.029
